父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
装配成品仓	C673 EU 装饰件总成-黑	1	100.0000%	外购半成品仓	C673 EU 开关装饰件-3价	1		PC	1	0
装配成品仓	C673 EU 装饰件总成-黑	1	100.0000%	外购半成品仓	C673侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C673 EU 装饰件总成-橙	1	100.0000%	外购半成品仓	C673 EU 开关装饰件-3价	1		PC	1	0
装配成品仓	C673 EU 装饰件总成-橙	1	100.0000%	外购半成品仓	C673侧围装饰件-热浪橙	1		PC	1	0
装配成品仓	C673装饰件总成-量子绿	1	100.0000%	外购半成品仓	C673开关装饰件	1		PC	1	0
装配成品仓	C673装饰件总成-量子绿	1	100.0000%	外购半成品仓	C673侧围装饰件-量子绿	1		PC	1	0
装配成品仓	C673装饰件总成-黑铬	1	100.0000%	外购半成品仓	C385开关装饰件-黑铬	1		PC	1	0
装配成品仓	C673装饰件总成-黑铬	1	100.0000%	外购半成品仓	C673侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C236装饰件总成-黑铬	1	100.0000%	外购半成品仓	C236电镀装饰件-黑铬	1		PC	1	0
装配成品仓	C236装饰件总成-黑铬	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236装饰件总成-黑铬	1	100.0000%	外购半成品仓	C236侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C236装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236 电镀装饰件	1		PC	1	0
装配成品仓	C236装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236 喷漆装饰件	1		PC	1	0
装配成品仓	C236装饰件总成-哑光银	1	100.0000%	外购半成品仓	C236侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	C385装饰件总成-慕夜黑-黑铬	1	100.0000%	外购半成品仓	C385开关装饰件-黑铬	1		PC	1	0
装配成品仓	C385装饰件总成-慕夜黑-黑铬	1	100.0000%	外购半成品仓	C385侧围装饰件-慕夜黑	1		PC	1	0
装配成品仓	UKEA装饰件总成-电镀	1	100.0000%	外购半成品仓	UKEA 电镀装饰件-右	1		PC	1	0
装配成品仓	UKEA装饰件总成-电镀	1	100.0000%	外购半成品仓	UKEA 电镀装饰件-左	1		PC	1	0
装配成品仓	UKEA装饰件总成-电镀	1	100.0000%	外购半成品仓	UKEA INS装饰件	1		PC	1	0
自制成品仓	SC3E 喷漆装饰件A-素材-备模	1	100.0000%	原材料仓	PC+ABS.Bayblend T65 XF	1		千克	0.054	0
装配成品仓	SK2装饰件总成-染木红	1	100.0000%	外购半成品仓	SK2湍流灰装饰件-右	1		PC	1	0
装配成品仓	SK2装饰件总成-染木红	1	100.0000%	外购半成品仓	SK2湍流灰装饰件-左	1		PC	1	0
装配成品仓	SK2装饰件总成-染木红	1	100.0000%	外购半成品仓	HXHA喷漆件装饰件-染木红	1		PC	1	0
装配成品仓	SK2装饰件总成-湍流灰	1	100.0000%	外购半成品仓	UKEA 喷漆装饰件-右	1		PC	1	0
装配成品仓	SK2装饰件总成-湍流灰	1	100.0000%	外购半成品仓	UKEA 喷漆装饰件-左	1		PC	1	0
装配成品仓	SK2装饰件总成-湍流灰	1	100.0000%	外购半成品仓	SK2暮色蓝装饰件	1		PC	1	0
装配成品仓	SK2装饰件总成-哑光钛银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-右	1		PC	1	0
装配成品仓	SK2装饰件总成-哑光钛银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-左	1		PC	1	0
装配成品仓	SK2装饰件总成-哑光钛银	1	100.0000%	外购半成品仓	SK2暮色蓝装饰件	1		PC	1	0
自制成品仓	Z177-877双色传动轴	1	100.0000%	半成品仓	Z177-877双色传动轴骨架	1		PC	1	0
自制成品仓	Z177-877双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.133	0
自制成品仓	Z177-877双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.133	0
