父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
自制半成品仓	C121_MCM_次叶片3_RH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0085	0
自制半成品仓	C121_MCM_次叶片4_RH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0064	0
自制半成品仓	C121_MCM_次叶片5_RH	1	100.0000%	原材料仓	PP-T20.API-2208 HF.KINGFA	1		千克	0.0051	0
自制半成品仓	C121_MCM_次叶片支架1_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0052	0
自制半成品仓	C121_MCM_次叶片支架2_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0046	0
自制半成品仓	C121_MCM_次叶片连杆_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0027	0
自制成品仓	C121_MCM_主叶片2_RH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0112	0
自制成品仓	C121_MCM_主叶片支架1_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0039	0
自制成品仓	C121_MCM_主叶片支架2_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0032	0
自制成品仓	C121_MCM_主叶片连杆_RH	1	100.0000%	原材料仓	POM.Duracon M90LV.BK.POLY	1		千克	0.0011	0
自制成品仓	C121_MCM_主叶片1_RH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0176	0
自制成品仓	C121_MCM_主叶片3_RH	1	100.0000%	原材料仓	PA6-GF50.BG10.600R.NJJL	1		千克	0.0153	0
自制半成品仓	W01B 左侧出风口内圈亮条-SL	1	100.0000%	原材料仓	PC+ABS GF30 HAC5030G	1		千克	0.0076	0
自制半成品仓	W01B 右侧出风口内圈亮条-SR	1	100.0000%	原材料仓	PC+ABS GF30 HAC5030G	1		千克	0.0075	0
自制半成品仓	W01B 中左出风口内圈亮条-CL	1	100.0000%	原材料仓	PC+ABS GF30 HAC5030G	1		千克	0.0072	0
自制半成品仓	W01 中右出风口内圈亮条-CR	1	100.0000%	原材料仓	PC+ABS GF30 HAC5030G	1		千克	0.0072	0
自制半成品仓	WPC 垫子	1	100.0000%	原材料仓	TPE Kraiburg TC8GPZ	1		千克	0.0494	0
自制半成品仓	WPC 支架	1	100.0000%	原材料仓	PC+ABS Polykimi R85HI (Recycle)	1		千克	0.0586	0
自制成品仓	673D中面框素材-新	1	100.0000%	原材料仓	PC+ABS 65FS BLACK	1		千克	0.1126	0
自制成品仓	G18后中扶手 杯托电镀件-素材	1	100.0000%	原材料仓	PC+ABS CB3110C N01512A	1		千克	0.0372	0
外购成品	后面板喷漆	1	100.0000%	原材料仓	PC+ABS.Bayblend T85XF.BK(901510).Covestro	1		千克	0.2308	0
外购成品	上面板喷漆件	1	100.0000%	原材料仓	PC+ABS.Bayblend T85XF.BK(901510).Covestro	1		千克	0.2175	0
自制半成品仓	V206 侧转向手柄底座_894-新	1	100.0000%	原材料仓	PC+ABS 704	1		千克	0.0116	0
自制半成品仓	V206 后转向手柄底座_894-新	1	100.0000%	原材料仓	PC+ABS 704	1		千克	0.0089	0
装配成品仓	UG装饰件总成-绫灰银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-右	1		PC	1	0
装配成品仓	UG装饰件总成-绫灰银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-左	1		PC	1	0
装配成品仓	UG装饰件总成-绫灰银	1	100.0000%	外购半成品仓	UG喷漆件装饰件-绫灰银	1		PC	1	0
半成品仓	C121_MCM_次叶片1_CR-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.004	0
半成品仓	C121_MCM_次叶片2_CR-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.004	0
半成品仓	C121_MCM_次叶片3_CR-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0042	0
半成品仓	C121_MCM_次叶片4_CR-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0035	0
半成品仓	C121_MCM_次叶片5_CR-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0034	0
半成品仓	C121_MCM_次叶片1_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0044	0
半成品仓	C121_MCM_次叶片2_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0045	0
半成品仓	C121_MCM_次叶片3_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0045	0
半成品仓	C121_MCM_次叶片4_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0038	0
半成品仓	C121_MCM_次叶片5_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0038	0
半成品仓	C121_MCM_次叶片6_CL-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0036	0
半成品仓	C121_MCM_次叶片1_LH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0048	0
半成品仓	C121_MCM_次叶片2_LH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0085	0
半成品仓	C121_MCM_次叶片3_LH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0057	0
半成品仓	C121_MCM_次叶片4_LH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.004	0
半成品仓	C121_MCM_次叶片5_LH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0026	0
半成品仓	C121_MCM_次叶片1_RH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0051	0
半成品仓	C121_MCM_次叶片2_RH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0091	0
半成品仓	C121_MCM_次叶片3_RH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0085	0
半成品仓	C121_MCM_次叶片4_RH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0064	0
半成品仓	C121_MCM_次叶片5_RH-新	1	100.0000%	原材料仓	PP-TD20 HP220L BK	1		千克	0.0051	0
装配成品仓	ST2 装饰件总成-芳堂红	1	100.0000%	外购半成品仓	ST2 装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-芳堂红	1	100.0000%	外购半成品仓	ST2 左装饰件-喷漆-芳堂红	1		PC	1	0
装配成品仓	ST2 装饰件总成-芳堂红	1	100.0000%	外购半成品仓	ST2 右装饰件-喷漆-芳堂红	1		PC	1	0
装配成品仓	ST2 装饰件总成-芳堂红	1	100.0000%	外购半成品仓	ST2 6H外侧装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-芳堂红	1	100.0000%	外购半成品仓	ST2 6H内侧装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-汝窑米	1	100.0000%	外购半成品仓	ST2 左装饰件-喷漆-汝窑米	1		PC	1	0
装配成品仓	ST2 装饰件总成-汝窑米	1	100.0000%	外购半成品仓	ST2 右装饰件-喷漆-汝窑米	1		PC	1	0
装配成品仓	ST2 装饰件总成-汝窑米	1	100.0000%	外购半成品仓	ST2 6H外侧装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-汝窑米	1	100.0000%	外购半成品仓	ST2 6H内侧装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-汝窑米	1	100.0000%	外购半成品仓	ST2 装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-层峦棕	1	100.0000%	外购半成品仓	ST2 装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-层峦棕	1	100.0000%	外购半成品仓	ST2 左装饰件-喷漆-层峦棕	1		PC	1	0
装配成品仓	ST2 装饰件总成-层峦棕	1	100.0000%	外购半成品仓	ST2 右装饰件-喷漆-层峦棕	1		PC	1	0
装配成品仓	ST2 装饰件总成-层峦棕	1	100.0000%	外购半成品仓	ST2 6H外侧装饰件-电镀	1		PC	1	0
装配成品仓	ST2 装饰件总成-层峦棕	1	100.0000%	外购半成品仓	ST2 6H内侧装饰件-电镀	1		PC	1	0
自制成品仓	C121_MCM_主叶片1_CL-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0167	0
自制成品仓	C121_MCM_主叶片1_CR-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0163	0
自制成品仓	C121_MCM_主叶片2_CL-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0234	0
自制成品仓	C121_MCM_主叶片2_CR-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.024	0
自制成品仓	C121_MCM_主叶片2_LH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0112	0
自制成品仓	C121_MCM_主叶片1_LH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0177	0
自制成品仓	C121_MCM_主叶片3_LH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0152	0
自制成品仓	C121_MCM_主叶片2_RH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0112	0
自制成品仓	C121_MCM_主叶片1_RH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0176	0
自制成品仓	C121_MCM_主叶片3_RH-新	1	100.0000%	原材料仓	PA6 B3G10H	1		千克	0.0153	0
装配成品仓	UG装饰件总成-浅云银	1	100.0000%	外购半成品仓	UG喷漆件装饰件-浅云银	1		PC	1	0
装配成品仓	UG装饰件总成-浅云银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-右	1		PC	1	0
装配成品仓	UG装饰件总成-浅云银	1	100.0000%	外购半成品仓	SK2哑光钛银装饰件-左	1		PC	1	0
自制成品仓	F2XU_左导流片_CTR	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0074	0
自制成品仓	F2XU_右导流片_CTR	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0074	0
自制成品仓	F2XU_主叶片_CTR	1	100.0000%	原材料仓	PA6-GF50.RB122 F50.black TX7.Polykemi	1		千克	0.0147	0
自制成品仓	F2XU_主叶片1_OL	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0056	0
自制成品仓	F2XU_主叶片3_OL	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0063	0
自制成品仓	F2XU_主叶片1_OR	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0056	0
自制成品仓	F2XU_主叶片3_OR	1	100.0000%	原材料仓	PA6-GF15.RB122 F15.black TX7.Polykemi	1		千克	0.0063	0
自制成品仓	F2XU_主叶片2_OL	1	100.0000%	原材料仓	PA6-GF50.RB122 F50.black TX7.Polykemi	1		千克	0.0089	0
